,Season,Squad,W,D,L,GF,GA,Pts,Sh,SoT,FK,PK,Cmp,Att,Cmp%,CK,CrdY,CrdR,Fls,PKcon,OG
177,2015-2016,Newcastle Utd,9,10,19,44,65,37,0,139,0,6,0,0,0.0,0,77,0,455,0,0
178,2015-2016,Norwich City,9,7,22,39,67,34,0,108,0,1,0,0,0.0,0,65,0,400,0,0
179,2015-2016,Aston Villa,3,8,27,27,76,17,0,186,0,4,0,0,0.0,0,57,0,381,0,0
180,2014-2015,Chelsea,26,9,3,73,32,87,0,226,0,6,0,0,0.0,0,69,0,377,0,0
181,2014-2015,Manchester City,24,7,7,83,38,79,0,127,0,1,0,0,0.0,0,76,0,398,0,0
182,2014-2015,Arsenal,22,9,7,71,36,75,0,124,0,1,0,0,0.0,0,66,0,406,0,0
183,2014-2015,Manchester Utd,20,10,8,62,37,70,0,209,0,4,0,0,0.0,0,75,0,382,0,0
184,2014-2015,Tottenham,19,7,12,58,53,64,0,139,0,5,0,0,0.0,0,70,0,527,0,0
185,2014-2015,Liverpool,18,8,12,52,48,62,0,167,0,4,0,0,0.0,0,71,0,387,0,0
186,2014-2015,Southampton,18,6,14,54,33,60,0,131,0,1,0,0,0.0,0,75,0,451,0,0
187,2014-2015,Swansea City,16,8,14,46,49,56,0,137,0,3,0,0,0.0,0,49,0,485,0,0
188,2014-2015,Stoke City,15,9,14,48,45,54,0,193,0,5,0,0,0.0,0,70,0,386,0,0
189,2014-2015,Crystal Palace,13,9,16,47,51,48,0,228,0,7,0,0,0.0,0,82,0,445,0,0
190,2014-2015,Everton,12,11,15,48,50,47,0,177,0,3,0,0,0.0,0,68,0,452,0,0
191,2014-2015,West Ham,12,11,15,44,47,47,0,140,0,1,0,0,0.0,0,78,0,433,0,0
192,2014-2015,West Brom,11,11,16,38,51,44,0,149,0,3,0,0,0.0,0,79,0,450,0,0
193,2014-2015,Leicester City,11,8,19,46,55,41,0,167,0,2,0,0,0.0,0,59,0,468,0,0
194,2014-2015,Newcastle Utd,10,9,19,40,63,39,0,136,0,3,0,0,0.0,0,84,0,477,0,0
195,2014-2015,Sunderland,7,17,14,31,53,38,0,129,0,4,0,0,0.0,0,96,0,440,0,0
196,2014-2015,Aston Villa,10,8,20,31,57,38,0,146,0,2,0,0,0.0,0,54,0,397,0,0
197,2014-2015,Hull City,8,11,19,33,51,35,0,171,0,3,0,0,0.0,0,81,0,442,0,0
198,2014-2015,Burnley,7,12,19,28,53,33,0,132,0,4,0,0,0.0,0,64,0,420,0,0
199,2014-2015,QPR,8,6,24,42,73,30,0,153,0,1,0,0,0.0,0,66,0,416,0,0
200,2013-2014,Manchester City,27,5,6,102,37,86,0,254,0,3,0,0,0.0,0,54,0,326,0,0
201,2013-2014,Liverpool,26,6,6,101,50,84,0,136,0,2,0,0,0.0,0,78,0,483,0,0
202,2013-2014,Chelsea,25,7,6,71,27,82,0,125,0,1,0,0,0.0,0,49,0,348,0,0
203,2013-2014,Arsenal,24,7,7,68,41,79,0,281,0,5,0,0,0.0,0,62,0,424,0,0
204,2013-2014,Everton,21,9,8,61,39,72,0,142,0,5,0,0,0.0,0,55,0,408,0,0
205,2013-2014,Tottenham,21,6,11,55,51,69,0,235,0,3,0,0,0.0,0,55,0,360,0,0
206,2013-2014,Manchester Utd,19,7,12,64,43,64,0,149,0,2,0,0,0.0,0,59,0,385,0,0
207,2013-2014,Southampton,15,11,12,54,46,56,0,129,0,2,0,0,0.0,0,55,0,418,0,0
208,2013-2014,Stoke City,13,11,14,45,52,50,0,300,0,10,0,0,0.0,0,53,0,410,0,0
209,2013-2014,Newcastle Utd,15,4,19,43,59,49,0,239,0,6,0,0,0.0,0,72,0,393,0,0
210,2013-2014,Crystal Palace,13,6,19,33,48,45,0,234,0,5,0,0,0.0,0,70,0,400,0,0
211,2013-2014,Swansea City,11,9,18,54,54,42,0,185,0,2,0,0,0.0,0,54,0,412,0,0
212,2013-2014,West Ham,11,7,20,40,51,40,0,145,0,1,0,0,0.0,0,64,0,425,0,0
213,2013-2014,Sunderland,10,8,20,41,60,38,0,181,0,3,0,0,0.0,0,61,0,444,0,0
214,2013-2014,Aston Villa,10,8,20,39,61,38,0,142,0,4,0,0,0.0,0,79,0,486,0,0
215,2013-2014,Hull City,10,7,21,38,53,37,0,135,0,6,0,0,0.0,0,68,0,444,0,0
216,2013-2014,West Brom,7,15,16,43,59,36,0,163,0,4,0,0,0.0,0,58,0,374,0,0
217,2013-2014,Norwich City,8,9,21,28,62,33,0,228,0,5,0,0,0.0,0,65,0,403,0,0
218,2013-2014,Fulham,9,5,24,40,85,32,0,145,0,2,0,0,0.0,0,67,0,424,0,0
219,2013-2014,Cardiff City,7,9,22,32,74,30,0,123,0,2,0,0,0.0,0,65,0,402,0,0
220,2012-2013,Manchester Utd,28,5,5,86,43,89,0,272,0,5,0,0,0.0,0,46,4,374,0,0
221,2012-2013,Manchester City,23,9,6,66,34,78,0,176,0,3,0,0,0.0,0,75,3,457,0,0
222,2012-2013,Chelsea,22,9,7,75,39,75,0,257,0,9,0,0,0.0,0,54,3,370,0,0
223,2012-2013,Arsenal,21,10,7,72,37,73,0,266,0,2,0,0,0.0,0,63,3,446,0,0
224,2012-2013,Tottenham,21,9,8,66,46,72,0,205,0,6,0,0,0.0,0,48,3,420,0,0
225,2012-2013,Everton,16,15,7,55,40,63,0,297,0,5,0,0,0.0,0,54,2,399,0,0
226,2012-2013,Liverpool,16,13,9,71,43,61,0,285,0,4,0,0,0.0,0,64,3,456,0,0
227,2012-2013,West Brom,14,7,17,53,57,49,0,243,0,4,0,0,0.0,0,56,1,371,0,0
228,2012-2013,Swansea City,11,13,14,47,51,46,0,208,0,4,0,0,0.0,0,75,4,459,0,0
229,2012-2013,West Ham,12,10,16,45,53,46,0,177,0,1,0,0,0.0,0,60,1,421,0,0
230,2012-2013,Norwich City,10,14,14,41,58,44,0,183,0,1,0,0,0.0,0,61,3,397,0,0
231,2012-2013,Fulham,11,10,17,50,60,43,0,146,0,4,0,0,0.0,0,45,1,387,0,0
232,2012-2013,Stoke City,9,15,14,34,45,42,0,207,0,3,0,0,0.0,0,43,2,406,0,0
233,2012-2013,Southampton,9,14,15,49,60,41,0,144,0,3,0,0,0.0,0,83,4,485,0,0
234,2012-2013,Aston Villa,10,11,17,47,69,41,0,164,0,4,0,0,0.0,0,63,3,454,0,0
235,2012-2013,Newcastle Utd,11,8,19,45,68,41,0,209,0,0,0,0,0.0,0,59,2,399,0,0
236,2012-2013,Sunderland,9,12,17,41,54,39,0,284,0,0,0,0,0.0,0,54,2,382,0,0
237,2012-2013,Wigan Athletic,9,9,20,47,73,36,0,200,0,5,0,0,0.0,0,62,4,429,0,0
238,2012-2013,Reading,6,10,22,43,73,28,0,206,0,4,0,0,0.0,0,74,1,467,0,0
239,2012-2013,QPR,4,13,21,30,60,25,0,209,0,1,0,0,0.0,0,66,2,444,0,0
